id,brand,model,reference_number,market_price,case_size,thickness,complications,factory,version,movement,dealer_price,rating,notes,image_url
PP-Nautilus-5712_moonphase,Patek Philippe,Nautilus,5712 Moonphase Date,85000,40,8.52,"Date, Moonphase, Power Reserve",OME,,240 Clone,,4.8,,	https://img.chrono24.com/images/uhren/34893840-hhuo96sxgqhmpkc09ggajfaa-ExtraLarge.jpg
PP-Nautilus-5712_moonphase,Patek Philippe,Nautilus,5712 Moonphase Date,85000,40,8.52,"Date, Moonphase, Power Reserve",PPF,v2,240 Clone,,4.5,,https://img.chrono24.com/images/uhren/39968454-f4minwk7so59wto3p5gzghju-Square280.jpg
PP-Nautilus-5712_moonphase,Patek Philippe,Nautilus,5712 Moonphase Date,85000,40,8.52,"Date, Moonphase, Power Reserve",ZF,v2,240 Clone,,4.0,,https://img.chrono24.com/images/uhren/39968454-f4minwk7so59wto3p5gzghju-Square280.jpg
PP-Nautilus-5726_annual,Patek Philippe,Nautilus,5726 Annual Calendar,52000,40.5,11.3,"Annual Calendar, Date, Day, Month, Moonphase",PPF,,MY9015,,3.0,,https://img.chrono24.com/images/uhren/42039615-dvg081mhtgkpq0mxxgqiueq1-Square280.jpg
PP-Nautilus-5980_chrono,Patek Philippe,Nautilus,5980 Chrono,95000,40.5,12.2,"Chronograph, Date",PPF,,A7750,,2.0,,https://img.chrono24.com/images/uhren/42013993-bwmfofzt54aa4qzu9u2l9op8-Square280.jpg
PP-Nautilus-5980_chrono,Patek Philippe,Nautilus,5980 Chrono,95000,40.5,12.2,"Chronograph, Date",TWF,,A7750,,2.0,,https://img.chrono24.com/images/uhren/42013993-bwmfofzt54aa4qzu9u2l9op8-Square280.jpg
PP-Nautilus-5980_chrono,Patek Philippe,Nautilus,5980 Chrono,95000,40.5,12.2,"Chronograph, Date",BPF,,A7750,,2.0,,https://img.chrono24.com/images/uhren/42013993-bwmfofzt54aa4qzu9u2l9op8-Square280.jpg
PP-Nautilus-7010_33mm,Patek Philippe,Nautilus,7010 Ladies 33mm,64000,33,6.9,Date,3KF,,324 Clone,,3.0,,https://img.chrono24.com/images/uhren/42013993-bwmfofzt54aa4qzu9u2l9op8-Square280.jpg
PP-Nautilus-7118_35mm,Patek Philippe,Nautilus,7118 Ladies 35mm,68000,35,8.6,Date,3KF,,324 Clone,,4.5,,https://img.chrono24.com/images/uhren/rnlm6yx4bcxp-7zvm4wwpxwfv8lule6o02dww-Square280.jpg
PP-Nautilus-7118_35mm,Patek Philippe,Nautilus,7118 Ladies 35mm,68000,35,8.6,Date,PPF,,324 Clone,,3.0,,https://img.chrono24.com/images/uhren/rnlm6yx4bcxp-7zvm4wwpxwfv8lule6o02dww-Square280.jpg
RX-SUB-126610,Rolex,Submariner,"126610LN/LV, 126619LB",14500,41,12.5,Date,VSF,,VS3235,,4.9,,https://zaeger.com.au/wp-content/uploads/2022/09/rolex-submariner-date-126610ln-ceramic-bezel-stainless-steel-41mm-zenithel-primero-collectionzenith-chronomaster-1969-tour-auto-edition.jpg
RX-SUB-126610,Rolex,Submariner,"126610LN/LV, 126619LB",14500,41,12.5,Date,Clean,,VR3235,,4.5,,https://img.chrono24.com/images/uhren/42195799-cf1wsuh4v1b2m1mk2igt0k3b-Square280.jpg
RX-SUB-126610,Rolex,Submariner,"126610LN/LV, 126619LB",14500,41,12.5,Date,ZF,,VR3235,,3.0,,https://img.chrono24.com/images/uhren/42195799-cf1wsuh4v1b2m1mk2igt0k3b-Square280.jpg
RX-SUB-126610,Rolex,Submariner,"126610LN/LV, 126619LB",14500,41,12.5,Date,GMF,,A2836,,3.0,,https://img.chrono24.com/images/uhren/42195799-cf1wsuh4v1b2m1mk2igt0k3b-Square280.jpg
RX-SUB-126610,Rolex,Submariner,"126610LN/LV, 126619LB",14500,41,12.5,Date,BPF,,A2836,,2.5,,https://img.chrono24.com/images/uhren/42195799-cf1wsuh4v1b2m1mk2igt0k3b-Square280.jpg
